SOURCE,SECTOR,__DES,SAPRC99_CH4,SAPRC99_ALK1,SAPRC99_ALK2,SAPRC99_ALK3,SAPRC99_ALK4,SAPRC99_ALK5,SAPRC99_ETHE,SAPRC99_OLE1,SAPRC99_OLE2,SAPRC99_ISOP,SAPRC99_TERP,SAPRC99_ARO1,SAPRC99_ARO2,SAPRC99_HCHO,SAPRC99_CCHO,SAPRC99_RCHO,SAPRC99_BALD,SAPRC99_ACET,SAPRC99_MEK,SAPRC99_PRD2,SAPRC99_MEOH,SAPRC99_GLY,SAPRC99_MGLY,SAPRC99_BACL,SAPRC99_PHEN,SAPRC99_CRES,SAPRC99_MACR,SAPRC99_MVK,SAPRC99_IPRD,SAPRC99_NVOL,SAPRC99_NROG,
EMEP,S3,Combustion in manufacturing industry,0,0.033589411,0.506603364,0,0.063442031,0.83081431,0.040728662,0.010551623,0.104524688,0.000197805,0,0,0,0,0,0,0,0,0,0,0,1.1866843,0,0.506603364,0,0.063442031,0.83081431,0.040728662,0.010551623,0.104524688,0.000197805,1.2376
EMEP,S4,Production processes,0,0.033589411,0.506603364,0,0.063442031,0.83081431,0.040728662,0.010551623,0.104524688,0.000197805,0,0,0,0,0,0,0,0,0,0,0,1.1866843,0,0.506603364,0,0.063442031,0.83081431,0.040728662,0.010551623,0.104524688,0.000197805,1.2376
EMEP,S5,Extraction and distribution of fossil fuels and geothermal energy,0,0.033589411,0.506603364,0,0.063442031,0.83081431,0.040728662,0.010551623,0.104524688,0.000197805,0,0,0,0,0,0,0,0,0,0,0,1.1866843,0,0.506603364,0,0.063442031,0.83081431,0.040728662,0.010551623,0.104524688,0.000197805,1.2376
EMEP,S6,Solvent use and other product use,0,0.033589411,0.506603364,0,0.063442031,0.83081431,0.040728662,0.010551623,0.104524688,0.000197805,0,0,0,0,0,0,0,0,0,0,0,1.1866843,0,0.506603364,0,0.063442031,0.83081431,0.040728662,0.010551623,0.104524688,0.000197805,1.2376
EMEP,S7,Road transport,0,0.033589411,0.506603364,0,0.063442031,0.83081431,0.040728662,0.010551623,0.104524688,0.000197805,0,0,0,0,0,0,0,0,0,0,0,1.1866843,0,0.506603364,0,0.063442031,0.83081431,0.040728662,0.010551623,0.104524688,0.000197805,1.2376
EMEP,S8,Other mobile sources and machinery,0,0.033589411,0.506603364,0,0.063442031,0.83081431,0.040728662,0.010551623,0.104524688,0.000197805,0,0,0,0,0,0,0,0,0,0,0,1.1866843,0,0.506603364,0,0.063442031,0.83081431,0.040728662,0.010551623,0.104524688,0.000197805,1.2376
EMEP,S9,Waste treatment and disposal,0,0.033589411,0.506603364,0,0.063442031,0.83081431,0.040728662,0.010551623,0.104524688,0.000197805,0,0,0,0,0,0,0,0,0,0,0,1.1866843,0,0.506603364,0,0.063442031,0.83081431,0.040728662,0.010551623,0.104524688,0.000197805,1.2376
EMEP,S10,Agriculture,0,0.033589411,0.506603364,0,0.063442031,0.83081431,0.040728662,0.010551623,0.104524688,0.000197805,0,0,0,0,0,0,0,0,0,0,0,1.1866843,0,0.506603364,0,0.063442031,0.83081431,0.040728662,0.010551623,0.104524688,0.000197805,1.2376
EMEP,S11,Other sources and sinks,0,0.033589411,0.506603364,0,0.063442031,0.83081431,0.040728662,0.010551623,0.104524688,0.000197805,0,0,0,0,0,0,0,0,0,0,0,1.1866843,0,0.506603364,0,0.063442031,0.83081431,0.040728662,0.010551623,0.104524688,0.000197805,1.2376
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
